,y,a
821,2015-01-26,311393
822,2015-01-27,311660
823,2015-01-28,312045
824,2015-01-29,312346
825,2015-01-30,312578
826,2015-01-31,312957
827,2015-02-01,313354
828,2015-02-02,313592
829,2015-02-03,313807
830,2015-02-04,314067
831,2015-02-05,314316
832,2015-02-06,314507
833,2015-02-07,314862
834,2015-02-08,315273
835,2015-02-09,315577
836,2015-02-10,315926
837,2015-02-11,316178
838,2015-02-12,316370
839,2015-02-13,316570
840,2015-02-14,316789
841,2015-02-15,317165
842,2015-02-16,317473
843,2015-02-17,317837
844,2015-02-18,318151
845,2015-02-19,318467
846,2015-02-20,318738
847,2015-02-21,319033
848,2015-02-22,319479
849,2015-02-23,319832
850,2015-02-24,320270
851,2015-02-25,320654
852,2015-02-26,320979
853,2015-02-27,321173
854,2015-02-28,321415
855,2015-03-01,321886
856,2015-03-02,322216
857,2015-03-03,322514
858,2015-03-04,322811
859,2015-03-05,323093
860,2015-03-06,323281
861,2015-03-07,323518
862,2015-03-07,323847
863,2015-03-08,324012
864,2015-03-09,324178
865,2015-03-10,324521
866,2015-03-11,325075
867,2015-03-12,325449
868,2015-03-13,325719
869,2015-03-14,326052
870,2015-03-15,326489
871,2015-03-16,326819
872,2015-03-17,327303
873,2015-03-18,327652
874,2015-03-19,327971
875,2015-03-20,328243
876,2015-03-21,328517
877,2015-03-22,329170
878,2015-03-23,329605
879,2015-03-24,329930
880,2015-03-25,330244
881,2015-03-26,330516
882,2015-03-27,330777
883,2015-03-28,331080
884,2015-03-29,331440
885,2015-03-30,331701
886,2015-03-31,331994
887,2015-04-01,332245
888,2015-04-02,332503
889,2015-04-03,332714
890,2015-04-04,333287
891,2015-04-05,333708
892,2015-04-06,334055
893,2015-04-07,334380
894,2015-04-08,334712
895,2015-04-09,334970
896,2015-04-10,335235
897,2015-04-11,335474
898,2015-04-12,335859
899,2015-04-13,336135
900,2015-04-14,336425
901,2015-04-15,336836
902,2015-04-16,337128
903,2015-04-17,337338
904,2015-04-18,337609
905,2015-04-19,337914
906,2015-04-20,338188
907,2015-04-21,338528
908,2015-04-22,338872
909,2015-04-23,339134
910,2015-04-24,339391
911,2015-04-25,339654
912,2015-04-26,339994
913,2015-04-27,340319
914,2015-04-28,340627
915,2015-04-29,340950
916,2015-04-30,341170
917,2015-05-01,341325
918,2015-05-02,341543
919,2015-05-03,341795
920,2015-05-04,342099
921,2015-05-05,342415
922,2015-05-06,343051
923,2015-05-07,343503
924,2015-05-08,343788
925,2015-05-09,344060
926,2015-05-10,344345
927,2015-05-11,344619
928,2015-05-12,344945
929,2015-05-13,345387
930,2015-05-14,345705
931,2015-05-15,345955
932,2015-05-16,346247
933,2015-05-17,346665
934,2015-05-18,347016
935,2015-05-19,347334
936,2015-05-20,347577
937,2015-05-21,347790
938,2015-05-22,347966
