,y,a
745,2014-11-12,339
746,2014-11-13,263
747,2014-11-14,250
748,2014-11-15,283
749,2014-11-16,382
750,2014-11-17,299
751,2014-11-18,279
752,2014-11-19,219
753,2014-11-20,177
754,2014-11-21,127
755,2014-11-22,234
756,2014-11-23,356
757,2014-11-24,298
758,2014-11-25,277
759,2014-11-26,222
760,2014-11-27,215
761,2014-11-28,165
762,2014-11-29,225
763,2014-11-30,269
764,2014-12-01,267
765,2014-12-02,223
766,2014-12-03,209
767,2014-12-04,167
768,2014-12-05,203
769,2014-12-06,249
770,2014-12-07,316
771,2014-12-08,244
772,2014-12-09,197
773,2014-12-10,263
774,2014-12-11,198
775,2014-12-12,170
776,2014-12-13,208
777,2014-12-14,216
778,2014-12-15,286
779,2014-12-16,284
780,2014-12-17,377
781,2014-12-18,262
782,2014-12-19,172
783,2014-12-20,210
784,2014-12-21,278
785,2014-12-22,264
786,2014-12-23,171
787,2014-12-24,148
788,2014-12-25,175
789,2014-12-26,261
790,2014-12-27,189
791,2014-12-28,296
792,2014-12-29,264
793,2014-12-30,253
794,2014-12-31,186
795,2015-01-01,343
796,2015-01-02,273
797,2015-01-03,287
798,2015-01-04,353
799,2015-01-05,270
800,2015-01-06,284
801,2015-01-07,319
802,2015-01-08,290
803,2015-01-09,272
804,2015-01-10,309
805,2015-01-11,377
806,2015-01-12,344
807,2015-01-13,284
808,2015-01-14,264
809,2015-01-15,329
810,2015-01-16,225
811,2015-01-17,271
812,2015-01-18,330
813,2015-01-19,298
814,2015-01-20,259
815,2015-01-21,312
816,2015-01-22,285
817,2015-01-23,249
818,2015-01-24,314
819,2015-01-25,300
820,2015-01-26,290
821,2015-01-27,267
822,2015-01-28,385
823,2015-01-29,301
824,2015-01-30,232
825,2015-01-31,379
826,2015-02-01,397
827,2015-02-02,238
828,2015-02-03,215
829,2015-02-04,260
830,2015-02-05,249
831,2015-02-06,191
832,2015-02-07,355
833,2015-02-08,411
834,2015-02-09,304
835,2015-02-10,349
836,2015-02-11,252
837,2015-02-12,192
838,2015-02-13,200
